logfc,adjpv,entrez,symbol
0.271226,0.942269,1,A1BG
1.7198,0.00192303,2,A2M
0.165442,0.999739,131076,CCDC58
-0.258368,0.968146,9,NAT1
1.55672,0.00192303,12,SERPINA3
-0.780242,0.977573,13,AADAC
0.0902785,0.999739,14,AAMP
0.45111,0.244905,16,AARS
-0.0216666,0.999739,163859,C1orf55
-0.293627,0.82807,18,ABAT
0.28583,0.685328,19,ABCA1
0.176311,0.913575,20,ABCA2
-0.130675,0.999739,21,ABCA3
-0.0998738,0.999739,22,ABCB7
0.163653,0.952415,25,ABL1
-0.532033,0.146653,27,ABL2
0.254638,0.770031,29,ABR
-0.147525,0.962475,30,ACAA1
0.22189,0.829256,31,ACACA
0.525111,0.425999,32,ACACB
0.0702168,0.999739,34,ACADM
0.358179,0.622012,35,ACADS
-0.0516599,0.999739,36,ACADSB
0.260383,0.801621,37,ACADVL
-0.441387,0.243118,38,ACAT1
-0.36573,0.998931,39,ACAT2
-1.74275,0.0413302,40,ACCN1
0.0308914,0.999739,163882,CNST
-0.230152,0.934483,41,ACCN2
-0.0272175,0.999739,131118,DNAJC19
0.133652,0.982972,47,ACLY
-0.273525,0.694619,48,ACO1
-0.0596761,0.999739,50,ACO2
-0.0511559,0.999739,51,ACOX1
-0.0831203,0.999739,52,ACP1
0.0268795,0.999739,53,ACP2
0.198197,0.999739,54,ACP5
0.799059,0.679833,55,ACPP
1.38319,0.112832,59,ACTA2
-0.185661,0.999739,60,ACTB
-0.0109675,0.999739,71,ACTG1
1.9041,0.00192303,72,ACTG2
0.354618,0.706313,81,ACTN4
-0.679762,0.994706,100500905,MIR3661
0.0432298,0.999739,86,ACTL6A
0.0831467,0.999739,87,ACTN1
0.082378,0.999739,90,ACVR1
0.55264,0.101049,91,ACVR1B
0.686234,0.697837,92,ACVR2A
0.650079,0.59892,93,ACVR2B
0.396054,0.419286,94,ACVRL1
0.304103,0.862764,95,ACY1
0.125672,0.999739,97,ACYP1
-0.327012,0.8374,98,ACYP2
0.00336666,0.999739,100,ADA
0.509619,0.853453,101,ADAM8
-0.329752,0.529423,102,ADAM10
-0.229621,0.832357,103,ADAR
3.12016,0.67394,100861540,CYP3A7-CYP3AP1
-0.410428,0.567161,104,ADARB1
0.267587,0.915487,107,ADCY1
0.261924,0.843043,109,ADCY3
0.00217898,0.999739,111,ADCY5
-0.257263,0.733873,112,ADCY6
-0.361566,0.616916,113,ADCY7
-0.43928,0.271195,115,ADCY9
-0.853651,0.999739,100500872,MIR3911
0.0467433,0.999739,118,ADD1
0.145225,0.98326,120,ADD3
0.208533,0.879319,123,PLIN2
0.484526,0.999739,124,ADH1A
-1.5756,0.999739,100500865,MIR3936
0.393721,0.828728,125,ADH1B
0.158218,0.999739,126,ADH1C
-0.149807,0.979863,128,ADH5
-0.721837,0.999739,130,ADH6
3.53807,0.0370129,100500862,MIR3648
-0.366516,0.488511,132,ADK
0.160761,0.999739,196743,PAOX
0.366678,0.693743,133,ADM
0.0041018,0.999739,134,ADORA1
-0.323752,0.601107,196740,VSTM4
0.109751,0.999739,136,ADORA2B
-0.252295,0.999739,100500849,MIR3916
-0.0850393,0.999739,141,ADPRH
0.0896402,0.999739,142,PARP1
-0.0136646,0.999739,143,PARP4
0.421355,0.882828,146,ADRA1D
-1.30743,0.0419406,147,ADRA1B
-0.240675,0.935962,150,ADRA2A
-0.384129,0.9672,154,ADRB2
0.300822,0.625688,156,ADRBK1
-0.204858,0.992422,157,ADRBK2
0.0537724,0.999739,158,ADSL
-10,0.693436,100500835,MIR3907
-0.379703,0.4006,159,ADSS
-0.325524,0.618317,160,AP2A1
-0.15262,0.953429,161,AP2A2
-0.308662,0.598061,162,AP1B1
-0.208324,0.86989,163,AP2B1
-0.218115,0.82807,164,AP1G1
1.75704,0.00192303,165,AEBP1
0.0649594,0.999739,166,AES
0.0869242,0.999739,172,AFG3L1P
-1.29756,0.214478,174,AFP
-0.223636,0.870809,175,AGA
-2.39601,0.00192303,176,ACAN
-0.107501,0.999739,178,AGL
-0.143911,0.964581,182,JAG1
1.01918,0.00351547,183,AGT
10,0.740373,100500805,MIR3607
0.337545,0.912726,185,AGTR1
-0.301193,0.988526,196792,FAM24B
-0.00378976,0.999739,190,NR0B1
-0.215087,0.838677,191,AHCY
-0.101012,0.999739,196,AHR
-0.237552,0.78068,203,AK1
0.0087533,0.999739,204,AK2
0.475251,0.274871,205,AK4
0.0579856,0.999739,207,AKT1
-0.0654949,0.999739,208,AKT2
0.0989803,0.999739,210,ALAD
-0.230938,0.817414,211,ALAS1
-0.865288,0.00351547,214,ALCAM
0.100211,0.999739,215,ABCD1
-1.50944,0.00192303,216,ALDH1A1
0.187384,0.907488,217,ALDH2
-0.0672722,0.999739,219,ALDH1B1
0.0630835,0.999739,220,ALDH1A3
-0.236,0.799201,221,ALDH3B1
-0.299946,0.60503,223,ALDH9A1
0.301192,0.654208,224,ALDH3A2
0.27264,0.916207,226,ALDOA
0.848328,0.00625935,230,ALDOC
-0.629615,0.205437,231,AKR1B1
0.155883,0.999739,239,ALOX12
2.31342,0.416801,241,ALOX5AP
1.90619,0.00192303,249,ALPL
