symbol,entrez,logfc,adjpv
Tas2r129,100310881,1.0091243,0.018227987
Gabrr3,192258,1.0455042,0.018082028
Olr956,302041,1.0749695,0.016490124
RGD1565498,500843,1.1925979,0.015803622
Alas2,25748,1.5122559,0.015458761
LOC690425,690425,1.0154694,0.014485406
Vom1r21,494229,1.2651334,0.014156614
Spinlw1,685161,1.0697745,0.014057297
Otx2,305858,1.1508702,0.01401603
RGD1565712,361541,1.0062861,0.01401603
Kctd19,291965,1.1590776,0.013938833
Cpeb1,293056,1.0833002,0.013879091
RGD1359156,287747,1.007562,0.013793322
Fam163b,685169,1.9380519,0.013759594
Olr4,292560,1.0310156,0.013372542
Syt2,24805,1.0073181,0.013330672
Clca1,308015,1.0048059,0.013257454
LOC688387,688387,1.0517771,0.012479841
Kcnk2,170899,1.0523067,0.011810801
Vom1r-ps39,494228,1.0410067,0.011810801
Dupd1,361003,1.0377028,0.011616799
Olr1399,405990,1.1666005,0.011219712
Vom2r17,690716,1.663994,0.011156351
Olr1413,252887,1.0784937,0.011041961
LOC500148,500148,1.1552529,0.011041961
Kcnc3,117101,1.0580472,0.01073228
RGD1565158,288959,1.702718,0.010532138
LOC684792,684792,1.1407597,0.010523721
LOC499573,499573,1.0280436,0.010508295
Adcyap1,24166,1.0801084,0.010468154
RGD1565129,503459,1.1595765,0.010197622
LOC687056,687056,1.5495231,0.010197622
RGD1562492,499151,1.2540708,0.009930498
Sox12,689988,1.0188569,0.009832025
Ccdc7,497041,1.3500006,0.009768937
Grin1,24408,1.2083738,0.009761027
Bai3,301309,1.1153632,0.009650582
Gpr162,362436,1.0164129,0.009649145
LOC691241,691241,1.0038221,0.009639078
Olr165,293312,1.1877099,0.009475037
Olr1450,405049,1.137811,0.009243027
Fam83f,315145,1.0866207,0.008997292
Acly,24159,1.1100308,0.008990551
Atp4a,24216,1.1352282,0.008628329
Fpr2l,681706,1.0009004,0.008463324
Catsper1,689349,1.5526776,0.008463324
Add2,24171,1.8410687,0.008384751
Olr675,404825,1.722972,0.008384751
LOC691728,691728,1.1784915,0.008384751
Tpc1808,64560,1.1961263,0.008224974
Sele,25544,1.027719,0.00804056
RGD1566226,296149,1.0867901,0.00804056
RGD1562641,290589,1.0400888,0.00798054
Figla,500239,1.4426613,0.00792493
Glycam1,25258,1.145566,0.007771018
Atp6v1g3,289407,1.1951269,0.007658703
Olr1691,294161,1.0703626,0.007626592
Olr1459,405045,1.0526224,0.007604346
Olr127,405911,1.4637735,0.007604346
Trim29,300656,1.4427899,0.007501028
Fam184b,289671,1.0296439,0.00741479
Pcdha1,393085,1.010623,0.007336537
LOC685171,685171,1.313311,0.007336537
Zswim5,313524,1.0399165,0.007232165
Olr150,405001,1.0245491,0.007201809
RGD1308106,361719,1.0666778,0.007128062
LOC100364190,100364190,1.3558366,0.006954528
Crx,60446,1.0692015,0.006802476
Olr120,293256,1.0151494,0.006786669
Gpr26,192153,1.1776725,0.006738817
LOC689766,689766,1.2217025,0.006738817
LOC687964,687964,1.3160337,0.00646117
Smptb,302879,1.0010052,0.00643033
Btbd17,303660,1.2105072,0.006415033
Stfa2l1,408214,1.009619,0.006354845
Flg,24641,1.7746928,0.006223194
Olr921,366798,1.0551995,0.006184358
Fasn,50671,1.2607675,0.006073039
Esr2,25149,1.1128802,0.006003073
Evx1,500130,1.1266105,0.006003073
Gys1,690987,1.0364403,0.006003073
LOC682419,682419,1.2491459,0.005899485
Clca2,362052,1.0281994,0.005828563
Fmo13,289193,1.0529929,0.005761222
Vom1r5,494246,1.22742,0.005755008
LOC691277,691277,1.2219841,0.005755008
Dlk2,316232,1.1085169,0.005700688
Pycr1,287877,1.0784264,0.005697
Olr560,295801,1.1374938,0.005659139
Slc38a8,502208,1.0898343,0.005627487
Neb,311029,1.4828113,0.005613663
LOC685964,685964,1.1036197,0.005550521
Chrna9,65024,1.0792453,0.005516384
Tm4sf20,691066,1.1663897,0.005419164
Psapl1,289720,1.2768326,0.005328605
Olr304,405925,1.169803,0.005308175
Ctsr,290975,1.0667448,0.005274732
Zmym2,305913,1.1387078,0.005262973
Olr232,405921,1.0586219,0.005262973
Taar4,294122,1.1973845,0.0050375
Fgf11,170632,1.0947207,0.0050113
Sftpb,192155,1.0640035,0.004974954
Fmo9p,685365,1.0680269,0.004930993
RT1-M1-2,414786,1.0050529,0.004857759
Fam161a,289833,1.1390196,0.00452641
Adamdec1,290338,1.1688085,0.004499051
LOC684315,684315,1.2711596,0.004499051
Ebf1,116543,1.0630642,0.004476239
Olr198,405919,1.0406132,0.004476239
RGD1563170,498102,1.1705486,0.004474721
Olr1083,404959,1.0273987,0.004453593
Olr684,295890,1.041949,0.004437009
Kcnma1,83731,1.2666017,0.004429638
Clec4d,362432,1.0691222,0.004429638
Cd52,117054,1.2836287,0.004421823
Gp1ba,691992,1.0688343,0.004328589
LOC685300,685300,1.8119887,0.004308112
RGD1565367,312226,1.0816832,0.004157155
Neurl1B,303019,1.1758624,0.0041163
Olr484,295750,1.0634377,0.0041094
Tmem194b,503257,1.1033009,0.0041094
Vom2r51,502891,1.0943465,0.004102863
Gpr27,65275,1.0185467,0.003958111
Slc46a2,298034,1.0451665,0.003935245
Cckar,24889,1.4421659,0.003840744
Fam5b,286895,1.0851175,0.003814908
Olr416,296678,1.3544339,0.003799076
Slc6a2,83511,1.0594138,0.003734103
Olr1639,405122,1.0021356,0.003734103
Asb14,680076,1.0276887,0.003682309
Olr56,293205,1.012699,0.003629586
Slc23a3,367298,1.6378642,0.003560181
LOC317416,317416,1.1736716,0.003552424
Slit2,360272,1.2263138,0.003518258
Lrrc9,299129,1.9251302,0.003456575
Olr889,288818,1.1175658,0.00334675
LOC100361198,100361198,1.0373377,0.00334675
Sorcs3,294043,1.7653763,0.00322293
Ahsp,293522,1.0528529,0.003192893
Fgf5,60662,1.0014925,0.003170462
Vom1r76,494240,1.032919,0.003170462
RGD1565316,315091,1.133051,0.003142177
Grid2,79220,1.0800831,0.003085761
Ptges,59103,1.2422818,0.003016239
Nrg2,432361,1.1319003,0.003016239
Enpp6,306460,1.1912255,0.002980328
Ttc39d,366531,1.3079436,0.002958682
RGD1560664,502355,1.0745777,0.002958682
Diras1,366826,1.0830804,0.002949776
Prl3d2,691552,1.1586504,0.002912696
Sstr5,25354,1.1105247,0.002878784
Pfkfb3,117276,1.1727225,0.002869291
Tdpoz1,365854,1.0085684,0.002820803
Olr952,288880,1.5097966,0.0027452
Olr1,140914,1.3820333,0.002699698
Olr1077,405280,1.0941833,0.002689577
RGD1564340,499953,1.59656,0.002680079
Slc45a2,310152,1.1372817,0.002637883
Vom2r8,685641,1.2484608,0.002569659
Olr1434,287322,1.1714888,0.002510516
Fancg,691105,1.0023868,0.00249643
Krt75,300247,1.0904697,0.002488142
Spag16,501158,1.347059,0.002460044
Kcnk4,116489,1.2172887,0.002319902
Tff1,117270,1.1774879,0.002319902
Rcor2,305811,1.1076332,0.002319902
Olr1138,405970,1.0032866,0.002319902
Kel,297025,1.024666,0.002221684
Ptchd1,317517,1.2167238,0.002210525
Ftsjd1,292016,1.0945919,0.002157727
Cacna1g,29717,1.1989506,0.002147524
LOC300308,300308,1.2374212,0.002147524
Smgc,446171,1.345401,0.002119351
Chml,689102,1.0017067,0.002119351
Olr444,406044,1.0208852,0.002113727
Gli1,140589,1.0428722,0.00211178
Krtap15-1,288297,1.1606741,0.00211178
Asb7,365277,1.1236703,0.00211178
Lin28a,500562,1.2076614,0.00211178
LOC690490,690490,1.507402,0.00211178
Myl7,289759,1.1102033,0.001993876
Csn1s1,24284,1.0499327,0.001987861
Vom2r59,288396,1.1562917,0.001987861
Olr210,293357,1.239766,0.001987861
RGD1561410,299844,1.1357406,0.001987861
Shc4,679845,1.5450754,0.001987861
Car4,29242,1.2560911,0.001909753
Tll2,365460,1.2266744,0.001909753
Olr788,404790,1.4625826,0.001901931
E2f8,308607,1.2429677,0.001896844
Ceacam6,100125369,1.325428,0.001885042
Slco6d1,367321,1.2681882,0.001853773
Olr1358,287077,1.3220365,0.001846647
LOC685125,685125,1.4152014,0.00181587
Mthfd2,680308,1.1459627,0.001812021
Isl2,57233,1.0695442,0.001786788
RGD1565390,365149,1.0008457,0.001786788
Aatk,690853,1.2094809,0.001735426
Steap2,312052,1.1261653,0.001730025
LOC100363867,100363867,1.488396,0.001695372
Gapdhs,66020,1.1267776,0.001687845
Stac,363152,1.3881567,0.001661261
Olr515,295768,1.3736362,0.001647881
LOC689840,689840,1.7031782,0.001647303
Ston1,360202,1.3291385,0.001642059
LOC691008,691008,1.0209626,0.001636246
Slc28a1,116642,1.0857509,0.001608564
Prosapip1,280670,1.0065612,0.001603626
Olr868,405110,1.0810075,0.001597007
Ppp1r1c,499818,1.1340923,0.001583924
Foxi3,502846,1.004124,0.001583924
Aebp2,297705,1.1395199,0.001571863
Grm6,24419,1.0287238,0.001566453
Scrt1,366951,1.0102141,0.001566453
Tpo,54314,1.0400962,0.001524179
Olr1226,300551,1.113559,0.001524179
