logfc,adjpv,entrez,symbol
1.26515,0.0444666,229665,Ampd1
-1.09939,0.031855,229905,Ccbl2
-1.77226,0.00701838,66107,Wfdc21
-1.09512,0.00701838,66194,Pycrl
-1.19178,0.00701838,66197,Cks2
-0.921901,0.0291964,66202,1110059G10Rik
-0.796081,0.031855,66377,Ndufc1
-1.05765,0.0114049,66491,Polr2l
-0.904154,0.0404354,66531,Cmc2
-1.14164,0.0271134,66576,Uqcrh
-3.12178,0.00701838,66805,Tspan1
-1.24134,0.0365694,329093,Cpa6
-2.10841,0.00701838,67046,Tbc1d7
-1.02087,0.00701838,67073,Pi4k2b
-0.903104,0.0114049,67131,Acbd4
1.22795,0.0114049,230979,Tnfrsf14
-0.801021,0.0404354,67224,Med29
-2.50027,0.00701838,100559,Ugt2b38
1.71958,0.00701838,67792,Rgs8
-1.01116,0.0159964,67874,Rprm
-0.911179,0.0444666,67895,Ppa1
-1.25206,0.0114049,68453,Gpihbp1
0.924921,0.00701838,232413,Clec12a
-1.13704,0.00701838,232670,Tspan33
-0.921042,0.0219559,101835,AW146154
-1.48915,0.00701838,69068,1810011O10Rik
-1.5258,0.0159964,233066,Syne4
1.82921,0.00701838,233199,Mybpc2
-1.34985,0.0343577,69542,2300002M23Rik
-1.88566,0.00701838,69861,2010003K11Rik
-1.11681,0.0242704,69999,1700027F09Rik
-1.43143,0.00701838,70024,Mcm10
-1.14404,0.0427364,70061,Sdr9c7
1.07711,0.00701838,332396,Kcnk18
-0.797723,0.0444666,70257,2010107E04Rik
1.05119,0.0219559,70261,Chp2
-2.19162,0.00701838,234199,Fgl1
-1.33383,0.00701838,70377,Derl3
0.830786,0.0427364,234267,Gpm6a
0.950406,0.0114049,234311,Ddx60
-1.22505,0.0343577,234671,Ces2c
1.01329,0.0291964,71519,Cyp2u1
1.24205,0.0427364,71768,Vwce
-0.873701,0.0444666,71776,Tha1
1.18465,0.00701838,399558,Flrt2
-1.49634,0.0219559,71988,Esco2
-1.04474,0.0114049,72016,1600002H07Rik
-0.932293,0.0201509,72026,Trmu
-1.00281,0.0444666,72074,Anks4b
-10,0.00701838,235973,A630095E13Rik
1.57496,0.0291964,72269,Cda
-2.1645,0.00701838,629378,Dact3
-1.42265,0.00701838,170725,Capn8
-1.13341,0.0242704,72514,Fgfbp3
-1.13924,0.0219559,433022,Plcxd2
-2.72249,0.00701838,72609,2700070H01Rik
-1.07734,0.00701838,170942,Erdr1
1.03523,0.0291964,72685,Dnajc6
-1.96964,0.0114049,433181,Spink11
-0.929076,0.0386424,72948,Tppp
-1.42553,0.00701838,269695,Rnft2
1.04564,0.0386424,73173,Pcdh18
1.04817,0.031855,269799,Clec4a1
1.70492,0.00701838,433746,Gm12830
1.28718,0.00701838,106393,Srl
0.912722,0.0242704,434223,Gm1966
1.34133,0.0114049,270802,BC048403
-1.34814,0.0271134,434674,Slc22a28
1.36084,0.00701838,631323,Gm12250
-0.994327,0.0343577,74318,Hopx
-0.911063,0.0219559,74325,Cltb
-0.913715,0.0114049,74600,Mrpl47
-1.3774,0.00701838,107449,Unc5b
1.11278,0.0291964,238564,Mylk4
1.95398,0.00701838,140491,Ppp1r3a
1.39868,0.0114049,75687,Fam65a
1.04488,0.0386424,75831,4930528G23Rik
1.86882,0.0404354,75859,4930568D16Rik
-0.989919,0.0427364,75863,Clec4g
1.61586,0.00701838,75951,4930578M01Rik
-0.795325,0.0444666,76071,Jakmip1
-0.923053,0.0114049,109136,Mmaa
-0.876247,0.0219559,76415,Fam187b
1.23407,0.0114049,76469,Cmya5
-1.19654,0.0271134,240327,Gm4951
-1.38687,0.00701838,109254,Adtrp
-1.1876,0.0271134,76574,Mfsd2a
-3.41352,0.0404354,76703,Cpb1
1.48645,0.0114049,76722,Ckmt2
1.90457,0.00701838,76728,1700123J17Rik
-0.880498,0.0201509,76793,Snip1
0.899925,0.0343577,76826,Nubpl
0.937171,0.0219559,240725,Sulf1
0.922412,0.0159964,76897,Ralyl
-0.837669,0.0365694,76932,Arfip2
-1.38784,0.00701838,76961,2210420H20Rik
1.26233,0.0201509,11472,Actn2
0.972701,0.0114049,11552,Adra2b
-1.4175,0.00701838,11655,Alas1
-1.46659,0.00701838,11775,Ap3b2
-1.7931,0.00701838,11808,Apoa4
-8.18459,0.00701838,77397,9530003J23Rik
-2.0324,0.00701838,11910,Atf3
0.972223,0.0469229,241303,Fam78a
1.01141,0.0242704,11994,Pcdh15
-1.77966,0.00701838,77552,Shisa4
-1.54873,0.00701838,634650,Gbp11
1.97678,0.00701838,241431,Xirp2
-1.50245,0.0242704,241452,Dhrs9
0.934938,0.0219559,12173,Bnc1
-1.26206,0.00701838,12183,Bpgm
-0.941477,0.0114049,12227,Btg2
0.94475,0.00701838,12265,Ciita
-1.41062,0.0114049,208943,Myo5c
-1.49739,0.00701838,12351,Car4
1.52089,0.00701838,12372,Casq1
1.07156,0.0291964,12558,Cdh2
-2.16633,0.00701838,209186,Acnat2
1.13674,0.0291964,110880,Scn4a
-1.27897,0.00701838,12702,Socs3
1.55523,0.00701838,12715,Ckm
1.09021,0.00701838,12772,Ccr2
0.820548,0.0343577,100579147,Gm10619
0.929096,0.0386424,13051,Cx3cr1
-1.22974,0.0271134,13074,Cyp17a1
-1.11516,0.031855,13117,Cyp4a10
-1.51302,0.00701838,13119,Cyp4a14
-0.917697,0.0201509,78789,Vsig1
-1.70718,0.00701838,78796,Zcchc4
-1.17026,0.0242704,13370,Dio1
-0.908268,0.00701838,13384,Mpp3
1.11244,0.0219559,13386,Dlk1
-1.21037,0.00701838,13537,Dusp2
0.861519,0.0343577,210293,Dock10
-1.15762,0.00701838,13711,Elf5
-1.19287,0.0386424,243376,Doxl2
-1.56362,0.0291964,14079,Fabp2
-1.00146,0.0159964,100217466,Scarna17
-1.2874,0.0386424,14221,Fjx1
-1.62094,0.00701838,14281,Fos
-3.0267,0.00701838,14282,Fosb
1.71677,0.00701838,14427,Galr1
1.06538,0.00701838,14468,Gbp2b
1.19727,0.00701838,14469,Gbp2
-0.994437,0.0201509,243910,Nfkbid
-1.21917,0.00701838,14586,Gfra2
-3.70366,0.00701838,14633,Gli2
0.880743,0.0114049,14734,Gpc3
-0.916611,0.0219559,244152,Tsku
-4.25859,0.00701838,14825,Cxcl1
0.874079,0.0365694,14969,H2-Eb1
1.31797,0.0159964,15284,Hlx
1.13175,0.0219559,80891,Fcrls
-1.6447,0.00701838,15370,Nr4a1
-1.15012,0.00701838,15461,Hras
1.03557,0.0114049,244923,Klhl31
1.44539,0.00701838,15564,Htr5b
1.34522,0.00701838,212225,Stk-ps2
3.19215,0.00701838,16069,Jchain
1.23822,0.0159964,16411,Itgax
0.898417,0.0271134,16431,Itm2a
-1.17849,0.00701838,213053,Slc39a14
-0.914877,0.0242704,16450,Jag2
-0.986767,0.00701838,16476,Jun
-1.37049,0.00701838,16477,Junb
1.64475,0.0159964,16528,Kcnk4
-1.06646,0.00701838,16592,Fabp5
1.4823,0.0404354,16643,Klrd1
-1.05839,0.0271134,16664,Krt14
-2.22611,0.00701838,246278,Cd207
0.92133,0.0219559,17022,Lum
0.912057,0.049327,17079,Cd180
1.38917,0.0365694,17086,Ncr1
-1.09732,0.0365694,17133,Maff
-1.12967,0.0365694,17195,Mbl2
-2.34333,0.00701838,17341,Bhlha15
1.20362,0.0219559,17472,Gbp4
-0.971021,0.0271134,17750,Mt2
-1.2545,0.0444666,17843,Mup4
1.19392,0.0114049,17879,Myh1
1.59416,0.00701838,17882,Myh2
2.04525,0.0242704,17897,Myl3
1.60961,0.00701838,17901,Myl1
1.52214,0.00701838,17907,Mylpf
-1.51441,0.0291964,214531,Tmprss13
0.959337,0.0386424,17930,Myom2
1.41027,0.0114049,378431,Txlnb
-1.49585,0.00701838,378425,Nlrp12
-1.16365,0.00701838,18113,Nnmt
-1.4627,0.031855,18405,Orm1
-3.07768,0.00701838,18406,Orm2
-3.3073,0.0159964,18407,Orm3
-1.33926,0.0219559,116852,Akr1c20
0.829822,0.049327,215280,Wipf1
1.02752,0.00701838,18767,Pkia
-1.87948,0.00701838,117167,Steap4
1.26327,0.00701838,19092,Prkg2
-1.04287,0.00701838,19225,Ptgs2
1.83156,0.00701838,19293,Pvalb
1.00228,0.0219559,19309,Pygm
4.14198,0.0219559,19660,Rbp2
0.974216,0.0427364,20190,Ryr1
1.10553,0.0114049,20198,S100a4
-3.08584,0.00701838,20202,S100a9
-5.30765,0.00701838,20208,Saa1
-6.65765,0.00701838,20209,Saa2
-1.4557,0.00701838,20211,Saa4
-1.42996,0.00701838,20219,Apcs
0.924795,0.0386424,380698,Obscn
-0.940204,0.0201509,20259,Scin
1.08764,0.00701838,20307,Ccl8
-1.55148,0.00701838,20310,Cxcl2
0.863794,0.0242704,380912,Zfp395
-1.99115,0.00701838,20494,Slc10a2
-1.45699,0.0114049,53315,Sult1d1
-1.07993,0.0291964,381043,Gm933
-0.885544,0.0219559,20598,Smpd2
-1.82263,0.00701838,20613,Snai1
0.880749,0.0201509,20684,Sp100
-10,0.0242704,20730,Spink1
-1.05744,0.049327,20750,Spp1
-1.01129,0.0404354,381246,Xkr9
-10,0.0242704,20939,Sva
0.935366,0.0219559,545370,Hmcn1
-1.2352,0.0291964,545366,Cfhr2
-1.78665,0.00701838,381531,Mup21
-0.948101,0.0114049,217737,Ahsa1
-1.06331,0.0219559,545481,Arhgap40
-1.45154,0.00701838,217847,Serpina10
1.02182,0.0242704,381693,Wdr95
0.799581,0.0365694,21354,Tap1
-1.16211,0.00701838,21748,Terc
-1.13495,0.00701838,21789,Tfpi2
1.4746,0.0219559,21828,Thbs4
-1.42536,0.00701838,21835,Thrsp
-0.867372,0.0114049,21855,Timm17b
-1.01869,0.00701838,21886,Tle2
-0.889015,0.0469229,218506,Mrps27
1.33067,0.00701838,21925,Tnnc2
1.0578,0.0114049,219148,Fam167a
-0.953324,0.0291964,55927,Hes6
-0.983702,0.00701838,55943,Stx8
1.54191,0.00701838,55985,Cxcl13
-1.16563,0.0201509,56508,Rapgef4
-1.22122,0.0444666,384198,Fam47e
0.831052,0.0404354,56644,Clec7a
1.08771,0.00701838,24013,Grk1
-2.06845,0.0159964,24117,Wif1
-1.26261,0.00701838,319156,Hist1h4d
1.56612,0.00701838,319545,D430020J02Rik
0.92326,0.0219559,57778,Fmnl1
1.43413,0.0469229,57781,Cd200r1
-1.28746,0.00701838,57875,Angptl4
-0.863313,0.0343577,57896,Krcc1
-1.62458,0.00701838,320204,Mettl20
-5.38306,0.00701838,320208,Tmem91
0.888291,0.0365694,320311,Rnf152
-1.64115,0.00701838,320742,A230072C01Rik
1.35948,0.0201509,58916,Myot
1.47226,0.00701838,59011,Myoz1
-1.45722,0.0219559,59012,Moxd1
-0.898821,0.0242704,223775,Pim3
1.14308,0.00701838,27273,Pdk4
-0.869909,0.031855,224093,Fam43a
-1.18888,0.00701838,28028,Mrpl50
-0.889973,0.031855,93689,Lmod1
-0.933865,0.0291964,28200,Dhrs4
0.892742,0.0242704,28254,Slco1a6
-4.55055,0.00701838,192113,Atp12a
1.36544,0.00701838,225594,Gm4841
0.880879,0.0219559,225908,Myrf
1.57518,0.00701838,258772,Olfr821
1.25464,0.00701838,258907,Olfr851
-1.11257,0.0404354,619371,Stxbp3-ps
-1.38327,0.00701838,620807,Mup6
-1.01112,0.0271134,100039795,Ildr2
-0.798146,0.0404354,195040,Tmem199
-10,0.0242704,64335,Svs3a
0.939948,0.0242704,64817,Svep1
-10,0.0159964,100628618,Mir5106
1.52647,0.0114049,228785,Mylk2
-1.14761,0.0114049,98170,Tmem132a
